Field,Value
Completion/Linux/Command/_ss,99.19
Completion/Linux/Command/_sshfs,49.61
Completion/Linux/Command/_strace,78.69
Completion/Linux/Command/_sysstat,59.63
Completion/Linux/Command/_tload,100.00
Completion/Linux/Command/_tpb,95.24
Completion/Linux/Command/_tpconfig,100.00
Completion/Linux/Command/_tracepath,100.00
Completion/Linux/Command/_tune2fs,68.92
Completion/Linux/Command/_uml,100.00
Completion/Linux/Command/_unshare,100.00
Completion/Linux/Command/_valgrind,86.13
Completion/Linux/Command/_vserver,99.24
Completion/Linux/Command/_wipefs,100.00
Completion/Linux/Command/_wpa_cli,100.00
Completion/Linux/Command/_yast,100.00
Completion/Linux/Type/.distfiles,100.00
Completion/Linux/Type/_capabilities,100.00
Completion/Linux/Type/_fuse_arguments,100.00
Completion/Linux/Type/_fuse_values,98.65
Completion/Linux/Type/_selinux_contexts,100.00
Completion/Linux/Type/_selinux_roles,100.00
Completion/Linux/Type/_selinux_types,100.00
Completion/Linux/Type/_selinux_users,100.00
Completion/Linux/Type/_wakeup_capable_devices,100.00
Completion/Linux/_apm,57.50
Completion/Linux/_cpupower,100.00
Completion/Linux/_rpm,38.75
Completion/Makefile.in,100.00
Completion/Mandrake/.distfiles,100.00
Completion/Mandrake/Command/.distfiles,100.00
Completion/Mandrake/Command/_urpmi,97.40
Completion/Mandriva/Command/.distfiles,100.00
Completion/Mandriva/Command/_rebootin,55.10
Completion/Mandriva/Command/_urpmi,75.00
Completion/Pbmplus/.distfiles,100.00
Completion/Pbmplus/_asciitopnm,100.00
Completion/Pbmplus/_fitstopgm,100.00
Completion/Pbmplus/_fitstopnm,100.00
Completion/Pbmplus/_g3topbm,100.00
Completion/Pbmplus/_giftopnm,100.00
Completion/Pbmplus/_macptopbm,100.00
Completion/Pbmplus/_pbm_file,100.00
Completion/Pbmplus/_pbmclean,100.00
Completion/Pbmplus/_pbmmake,100.00
Completion/Pbmplus/_pbmmask,100.00
Completion/Pbmplus/_pbmpscale,100.00
Completion/Pbmplus/_pbmreduce,100.00
Completion/Pbmplus/_pbmtext,100.00
Completion/Pbmplus/_pbmto10x,100.00
Completion/Pbmplus/_pbmtobg,100.00
Completion/Pbmplus/_pbmtoepsi,100.00
Completion/Pbmplus/_pbmtolj,100.00
Completion/Pbmplus/_pbmtoln03,100.00
Completion/Pbmplus/_pbmtolps,100.00
Completion/Pbmplus/_pbmtomacp,100.00
Completion/Pbmplus/_pbmtopgm,100.00
Completion/Pbmplus/_pbmtopk,100.00
Completion/Pbmplus/_pbmupc,100.00
Completion/Pbmplus/_pgmcrater,100.00
Completion/Pbmplus/_pgmkernel,100.00
Completion/Pbmplus/_pgmnoise,100.00
Completion/Pbmplus/_pgmnorm,100.00
Completion/Pbmplus/_pgmoil,100.00
Completion/Pbmplus/_pgmramp,100.00
Completion/Pbmplus/_pgmtexture,100.00
Completion/Pbmplus/_pgmtopbm,100.00
Completion/Pbmplus/_pgmtoppm,100.00
Completion/Pbmplus/_pktopbm,100.00
Completion/Pbmplus/_pnmalias,100.00
Completion/Pbmplus/_pnmarith,100.00
Completion/Pbmplus/_pnmcat,100.00
Completion/Pbmplus/_pnmcomp,100.00
Completion/Pbmplus/_pnmconvol,100.00
Completion/Pbmplus/_pnmcrop,100.00
Completion/Pbmplus/_pnmcut,100.00
Completion/Pbmplus/_pnmdepth,100.00
Completion/Pbmplus/_pnmenlarge,100.00
Completion/Pbmplus/_pnmflip,100.00
Completion/Pbmplus/_pnmgamma,100.00
Completion/Pbmplus/_pnmhistmap,100.00
Completion/Pbmplus/_pnmindex,100.00
Completion/Pbmplus/_pnmmargin,100.00
Completion/Pbmplus/_pnmnlfilt,100.00
Completion/Pbmplus/_pnmpad,100.00
Completion/Pbmplus/_pnmpaste,100.00
Completion/Pbmplus/_pnmrotate,100.00
Completion/Pbmplus/_pnmscale,100.00
Completion/Pbmplus/_pnmshear,100.00
Completion/Pbmplus/_pnmtile,100.00
Completion/Pbmplus/_pnmtoddif,100.00
Completion/Pbmplus/_pnmtofits,100.00
Completion/Pbmplus/_pnmtops,100.00
Completion/Pbmplus/_pnmtorast,100.00
Completion/Pbmplus/_pnmtosgi,100.00
Completion/Pbmplus/_pnmtotiff,100.00
Completion/Pbmplus/_pnmtoxwd,100.00
Completion/Pbmplus/_ppm3d,100.00
Completion/Pbmplus/_ppmbrighten,100.00
Completion/Pbmplus/_ppmchange,100.00
Completion/Pbmplus/_ppmdim,100.00
Completion/Pbmplus/_ppmdist,100.00
Completion/Pbmplus/_ppmdither,100.00
Completion/Pbmplus/_ppmflash,100.00
Completion/Pbmplus/_ppmforge,100.00
Completion/Pbmplus/_ppmmake,100.00
Completion/Pbmplus/_ppmmix,100.00
Completion/Pbmplus/_ppmntsc,100.00
Completion/Pbmplus/_ppmpat,100.00
Completion/Pbmplus/_ppmquant,100.00
Completion/Pbmplus/_ppmquantall,100.00
Completion/Pbmplus/_ppmshift,100.00
Completion/Pbmplus/_ppmspread,100.00
Completion/Pbmplus/_ppmtoacad,100.00
Completion/Pbmplus/_ppmtobmp,100.00
Completion/Pbmplus/_ppmtogif,100.00
Completion/Pbmplus/_ppmtoicr,100.00
Completion/Pbmplus/_ppmtoilbm,100.00
Completion/Pbmplus/_ppmtomap,100.00
Completion/Pbmplus/_ppmtomitsu,100.00
Completion/Pbmplus/_ppmtopj,100.00
Completion/Pbmplus/_ppmtopjxl,100.00
Completion/Pbmplus/_ppmtosixel,100.00
Completion/Pbmplus/_ppmtotga,100.00
Completion/Pbmplus/_ppmtouil,100.00
Completion/Pbmplus/_ppmtoyuvsplit,100.00
Completion/Pbmplus/_psidtopgm,100.00
Completion/Pbmplus/_pstopnm,100.00
Completion/Pbmplus/_rawtopgm,100.00
Completion/Pbmplus/_rawtoppm,100.00
Completion/Pbmplus/_rgb3toppm,100.00
Completion/Pbmplus/_sgitopnm,100.00
Completion/Pbmplus/_sldtoppm,100.00
Completion/Pbmplus/_yuvsplittoppm,100.00
Completion/Pbmplus/_yuvtoppm,100.00
Completion/Pbmplus/_zeisstopnm,100.00
Completion/README,97.27
Completion/Redhat/.distfiles,100.00
