Project Name,Author,Total Commits,Total PRs,Avg PR Merge Time (hours),Total Issues,Avg Issue Resolution Time (hours),Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors,Bug Fix Commit Count,log_defect_density,log_lead_time,log_code_churn,logit_failed_rate
notebook,AAYUSH SINHA,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.251344983372214,4.472143269268802,-3.433987204485147,-2.6390573296152584
notebook,Aarni Koskela,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,-13.815510557964274,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,Aaron Christianson,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,"Aaron Hall, MBA",4,60,15.372361111111111,60,72.17179166666668,60,60,0.9333333333333332,60,30,5640,5.978579347569996,4.472143269268802,-6.668737378510637,-2.6390573296152584
notebook,Adam Chainz,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,Adam Zieliński,4,60,15.372361111111111,60,72.17179166666668,60,60,0.9333333333333332,60,30,5640,-4.034121485684167,4.472143269268802,-7.585028110384792,-2.6390573296152584
notebook,Adeel Ahmad,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,Administrator,25,150,15.37236111111111,150,72.17179166666668,150,150,0.9333333333333332,150,30,14100,5.783567356604438,4.472143269268802,-1.4395711356847987,-2.6390573296152584
notebook,Adrian Price-Whelan,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,Afshin Taylor Darian,625,750,15.372361111111111,750,72.17179166666668,750,750,0.9333333333333332,750,30,70500,inf,4.472143269268802,-7.684312277206738,-2.639057329615258
notebook,Ahmed G. Ibrahim,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.251344983372214,4.472143269268802,-3.433987204485147,-2.6390573296152584
notebook,Alberto Valverde,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,5.998582014876845,4.472143269268802,-1.6422277352570913,-2.6390573296152584
notebook,Alex Gabilondo,324,540,15.372361111111111,540,72.17179166666668,540,540,0.9333333333333331,540,30,50760,inf,4.472143269268802,-10.61060165334272,-2.6390573296152584
notebook,Alex Soderman,1,30,15.372361111111111,30,72.17179166666668,30,30,0.9333333333333332,30,30,2820,7.944492163932159,4.472143269268802,-13.815510557964274,-2.6390573296152584
notebook,Alexander Braverman Masis,21609,4410,15.372361111111111,4410,72.17179166666668,4410,4410,0.9333333333333332,4410,30,414540,inf,4.472143269268802,-5.582873384901163,-2.6390573296152584
