Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
AgentLaboratory,Nino Risteski,4,60,60,6,0,0,7,14,7.0,0.0333333333333332,127.94221428571429,0.0,0.0,0.2258064516129032,0.10740740740740741,3.46637037037037,10.749431216931216
AgentLaboratory,Patrick Chauncey,1,30,30,3,0,0,7,7,7.0,0.0333333333333332,127.94221428571429,0.0,0.0,0.2258064516129032,0.053703703703703705,1.733185185185185,5.374715608465608
AgentLaboratory,Samuel Schmidgall,121,330,330,33,0,0,7,77,inf,0.0333333333333332,127.94221428571429,0.0,18.516129032258064,0.2258064516129032,0.5907407407407409,19.065037037037037,59.1218716931217
AgentLaboratory,onezibo,1,30,30,3,0,0,7,7,0.175,0.0333333333333332,127.94221428571429,0.0,1.2580645161290325,0.2258064516129032,0.053703703703703705,1.733185185185185,5.374715608465608
Archon,Aniket1995,36,120,180,0,0,0,8,66,0.43527507830258877,0.0333333333333332,166.33476216412492,0.0,24.119047619047617,0.3548387096774193,0.17058823529411768,21.326350762527234,8.026842560553634
Archon,Cole Medin,484,440,660,0,0,0,8,242,2.8417304598377178,0.0333333333333332,166.33476216412492,0.0,25.32900432900433,0.3548387096774194,0.6254901960784315,78.19661946259986,29.431756055363323
Archon,Edilson Lima,1,20,30,0,0,0,8,11,1.1,0.0333333333333332,166.33476216412492,0.0,0.4285714285714285,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
Archon,HoangNB,1,20,30,0,0,0,8,11,-5.5,0.0333333333333332,166.33476216412492,0.0,-0.1428571428571428,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
Archon,Michaelzag,1,20,30,0,0,0,8,11,5.5,0.0333333333333332,166.33476216412492,0.0,0.0476190476190476,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
Archon,Wirasm,1,20,30,0,0,0,8,11,0.2244897959183673,0.0333333333333332,166.33476216412492,0.0,2.2857142857142856,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
Archon,cannuri,1,20,30,0,0,0,8,11,11.0,0.0333333333333332,166.33476216412492,0.0,0.0,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
Archon,takshit12,1,20,30,0,0,0,8,11,1.2222222222222223,0.0333333333333332,166.33476216412492,0.0,0.3809523809523809,0.3548387096774194,0.02843137254901961,3.554391793754539,1.3378070934256054
ColossalAI,1SAA,25,150,150,150,150,0,30,7545,92.89033950260266,0.3333333333333333,124.17673148148148,0.0,12.083870967741936,48.67741935483871,0.0009352787130564907,0.057395190329218096,0.11681459008812403
ColossalAI,Alex_996,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Andreas Reischuck,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Arsmart1,25,150,150,150,150,0,30,7545,inf,0.3333333333333333,124.17673148148148,0.0,0.01935483870967742,48.67741935483871,0.0009352787130564907,0.057395190329218096,0.11681459008812403
ColossalAI,Baizhou Zhang,2500,1500,1500,1500,1500,0,30,75450,inf,0.33333333333333326,124.17673148148147,0.0,3.527096774193548,48.67741935483871,0.009352787130564907,0.573951903292181,1.1681459008812403
ColossalAI,BigOneLiXiaoMing,1,30,30,30,30,0,30,1509,inf,0.3333333333333333,124.17673148148148,0.0,-0.032258064516129,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,Bin Jia,196,420,420,420,420,0,30,21126,153.5011413794604,0.3333333333333333,124.17673148148148,0.0,6.956221198156682,48.67741935483871,0.0026187803965581746,0.1607065329218107,0.3270808522467473
ColossalAI,Blagoy Simandoff,1,30,30,30,30,0,30,1509,1509.0,0.3333333333333333,124.17673148148148,0.0,0.0,48.67741935483871,0.00018705574261129818,0.011479038065843621,0.023362918017624808
ColossalAI,BlueRum,576,720,720,720,720,0,30,36216,300.97818352844973,0.3333333333333333,124.17673148148147,0.0,0.9139784946236559,48.67741935483871,0.0044893378226711555,0.27549691358024686,0.5607100324229953
ColossalAI,Boyuan Yao,3364,1740,1740,1740,1740,0,30,87522,127.92583272457912,0.3333333333333333,124.17673148148148,0.0,3.5589543937708563,48.67741935483871,0.010849233071455293,0.6657842078189299,1.3550492450222387
ColossalAI,BurkeHulk,36,180,180,180,180,0,30,9054,198.33715222043872,0.3333333333333333,124.17673148148147,0.0,1.2580645161290323,48.67741935483871,0.0011223344556677889,0.06887422839506172,0.14017750810574883
